#---EXFOR Request #2089
#---EXFOR Standard Output---
#=============================================================================
#DATASET        14369003 
#NOW            2016/08/29:04:32:38
#SUBENT         14369003   20130625
#ENTRY          14369      20130625
#AUTHOR1        J.S.Fraser+
#YEAR           1966
#X4REF1         J,ARN,16,379,1966
#REFERENCE1     Jour: Annual Review of Nuclear and Part.Sci., Vol.16, p.379 (1966)
#REACTION       92-U-235(N,F)MASS,PR/FRG,NU
#D4REAC         R0#
#C4Reaction     (N,F)MASS,PR/FRG,NU
#ReactionType   NU
#Quantity       Mult. of prompt neutrons from the fragment spec.
#IndVarFamCode  [0 2    7   ]
#ExpectedUnits  [PART/FIS]
#xVariables     2
#+              Y = Y(X1,X2)
#COLUMNS        4
#HEADER         7           4           12
!DATA        DATA-ERR    EN          MASS        
!NO-DIM      NO-DIM      EV          NO-DIM      
!Y.Value     Y.Err+-     X1.Value    X2.Value    
!0.1         0.911       1.1         2.1         
!variable    variable    const       variable    
!1.0         1.0         1.0         1.0         
!NO-DIM      NO-DIM      EV          NO-DIM      
#DATA           77          4           12
#COL-4         : Data        : variable    
#+   Rank      : 2.1         : X2.Value    
#+   Type      : 92          : 7.1         
#+   Header    : MASS        : [Isotope/particle identification: mass] Product mass
#+   Units     : NO-DIM      : [no Dimensions]
#
#COL-5         : Error       : constant    
#+   Rank      : 2.922       : X2.Resl+-   
#+   Type      : 92          : 7.922       
#+   Header    : MASS-RSL    : [Uncertainty: +-resolution]
#+   Units     : NO-DIM      : [no Dimensions]
#
#ENDDATASET     21095005 
#=============================================================================
#DATASET        22464004 
#NOW            2016/08/29:04:32:38
#SUBENT         22464004   20150925
#ENTRY          22464      20150925
#AUTHOR1        K.Nishio+
#YEAR           1998
#X4REF1         J,NP/A,632,540,1998
#REFERENCE1     Jour: Nuclear Physics, Section A, Vol.632, p.540 (1998)
#REACTION       92-U-235(N,F)MASS,PR/FRG,NU,,MXW
#D4REAC         R0#
#C4Reaction     (N,F)MASS,PR/FRG,NU,,MXW
#ReactionType   NU
#Quantity       Mult. of prompt neutrons from the fragment spec.
#IndVarFamCode  [0 2    7   ]
#ExpectedUnits  [PART/FIS]
#xVariables     2
#+              Y = Y(X1,X2)
#COLUMNS        4
#HEADER         7           4           12
!DATA        ERR-S       EN-MEAN     MASS        
!PRT/FIS     PRT/FIS     EV          NO-DIM      
!Y.Value     Y.sErr+-    X1.Value    X2.Value    
!0.1         0.944       1.1         2.1         
!variable    variable    const       variable    
!1.0         1.0         1.0         1.0         
!PART/FIS    PART/FIS    EV          NO-DIM      
#DATA           66          4           12
 0.3936      0.0935      0.0253      76.         
 0.5153      0.07604     0.0253      77.         
 0.629       0.07516     0.0253      78.         
 0.7488      0.07066     0.0253      79.         
 0.7077      0.06135     0.0253      80.         
 0.7069      0.05291     0.0253      81.         
 0.7222      0.04899     0.0253      82.         
 0.7489      0.04627     0.0253      83.         
 0.8154      0.04253     0.0253      84.         
 0.953       0.04346     0.0253      85.         
 0.837       0.03481     0.0253      86.         
 0.8536      0.03258     0.0253      87.         
 0.992       0.03271     0.0253      88.         
 1.001       0.0296      0.0253      89.         
 1.11        0.02933     0.0253      90.         
 1.166       0.02837     0.0253      91.         
 1.198       0.027       0.0253      92.         
 1.338       0.02855     0.0253      93.         
 1.364       0.02773     0.0253      94.         
 1.402       0.02787     0.0253      95.         
 1.46        0.02868     0.0253      96.         
 1.476       0.02889     0.0253      97.         
 1.504       0.0294      0.0253      98.         
 1.52        0.03023     0.0253      99.         
 1.66        0.03363     0.0253      100.        
 1.576       0.03354     0.0253      101.        
 1.677       0.03769     0.0253      102.        
 1.703       0.04058     0.0253      103.        
 1.826       0.04804     0.0253      104.        
 1.922       0.05612     0.0253      105.        
 2.104       0.07026     0.0253      106.        
 1.922       0.07594     0.0253      107.        
 2.276       0.1094      0.0253      108.        
 2.092       0.1254      0.0253      109.        
 1.73        0.1332      0.0253      110.        
 1.813       0.1768      0.0253      111.        
 1.753       0.2295      0.0253      112.        
 0.673       0.1154      0.0253      126.        
 0.6942      0.08299     0.0253      127.        
 0.6274      0.07705     0.0253      128.        
 0.6274      0.05822     0.0253      129.        
 0.5673      0.05842     0.0253      130.        
 0.6448      0.04199     0.0253      131.        
 0.596       0.04184     0.0253      132.        
 0.6763      0.03543     0.0253      133.        
 0.6974      0.0317      0.0253      134.        
 0.7929      0.03086     0.0253      135.        
 0.8985      0.0301      0.0253      136.        
 0.8855      0.02923     0.0253      137.        
 1.006       0.02969     0.0253      138.        
 1.102       0.03062     0.0253      139.        
 1.075       0.03        0.0253      140.        
 1.094       0.03114     0.0253      141.        
 1.19        0.03265     0.0253      142.        
 1.167       0.0331      0.0253      143.        
 1.197       0.03517     0.0253      144.        
 1.285       0.03809     0.0253      145.        
 1.293       0.04084     0.0253      146.        
 1.243       0.04363     0.0253      147.        
 1.316       0.04965     0.0253      148.        
 1.468       0.05863     0.0253      149.        
 1.452       0.0657      0.0253      150.        
 1.516       0.07525     0.0253      151.        
 1.62        0.09214     0.0253      152.        
 1.653       0.1123      0.0253      153.        
 1.674       0.1241      0.0253      154.        
#ENDDATA        66          4
#Legend         4           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : PRT/FIS     : [particles per fission]
#+   BasicUnits: PART/FIS    : Conv.Factor=1.
#
#COL-2         : Error       : variable    
#+   Rank      : 0.944       : Y.sErr+-    
#+   Type      : 21          : 0.944       
#+   Header    : ERR-S       : [Uncertainty: +-statistical error]
#+   Units     : PRT/FIS     : [particles per fission]
#+   BasicUnits: PART/FIS    : Conv.Factor=1.
#
#COL-3         : Data        : constant    
#+   Rank      : 1.1         : X1.Value    
#+   Type      : 43          : 2.1         
#+   Header    : EN-MEAN     : [Incident energy: spectrum energy]
#+   Units     : EV          : [electron-Volts]
#
#COL-4         : Data        : variable    
#+   Rank      : 2.1         : X2.Value    
#+   Type      : 92          : 7.1         
#+   Header    : MASS        : [Isotope/particle identification: mass] Product mass
#+   Units     : NO-DIM      : [no Dimensions]
#
#ENDDATASET     22464004 
#=============================================================================
#DATASET        22464005 
#NOW            2016/08/29:04:32:38
#SUBENT         22464005   20150925
#ENTRY          22464      20150925
#AUTHOR1        K.Nishio+
#YEAR           1998
#X4REF1         J,NP/A,632,540,1998
#REFERENCE1     Jour: Nuclear Physics, Section A, Vol.632, p.540 (1998)
#REACTION       92-U-235(N,F)MASS,PR,NU,,MXW
#D4REAC         R0#
#C4Reaction     (N,F)MASS,PR,NU,,MXW
#ReactionType   NU
#Quantity       Prompt neutron yield (nu-bar)
#IndVarFamCode  [0 2    7   ]
#ExpectedUnits  [PART/FIS]
#xVariables     2
#+              Y = Y(X1,X2)
#COLUMNS        4
#HEADER         7           4           12
!DATA        DATA-ERR    EN-MEAN     MASS        
!PRT/FIS     PRT/FIS     EV          NO-DIM      
!Y.Value     Y.Err+-     X1.Value    X2.Value    
!0.1         0.911       1.1         2.1         
!variable    variable    const       variable    
!1.0         1.0         1.0         1.0         
!PART/FIS    PART/FIS    EV          NO-DIM      
#DATA           30          4           12
 2.42        0.1607      0.0253      125.        
 2.403       0.1154      0.0253      126.        
 2.786       0.08299     0.0253      127.        
 2.903       0.07705     0.0253      128.        
 2.549       0.05822     0.0253      129.        
 2.671       0.05842     0.0253      130.        
 2.567       0.04199     0.0253      131.        
 2.422       0.04184     0.0253      132.        
 2.379       0.03543     0.0253      133.        
 2.375       0.0317      0.0253      134.        
 2.369       0.03086     0.0253      135.        
 2.558       0.0301      0.0253      136.        
 2.406       0.02923     0.0253      137.        
 2.51        0.02969     0.0253      138.        
 2.578       0.03062     0.0253      139.        
 2.535       0.03        0.0253      140.        
 2.496       0.03114     0.0253      141.        
 2.554       0.03265     0.0253      142.        
 2.504       0.0331      0.0253      143.        
 2.395       0.03517     0.0253      144.        
 2.451       0.03809     0.0253      145.        
 2.403       0.04084     0.0253      146.        
 2.244       0.04363     0.0253      147.        
 2.308       0.04965     0.0253      148.        
 2.322       0.05863     0.0253      149.        
 2.289       0.0657      0.0253      150.        
 2.469       0.07525     0.0253      151.        
 2.436       0.09214     0.0253      152.        
 2.402       0.1123      0.0253      153.        
 2.396       0.1241      0.0253      154.        
#ENDDATA        30          4
#Legend         4           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
