#---EXFOR Request #1880
#---EXFOR Standard Output---
#=============================================================================
#DATASET        33035002 
#NOW            2016/08/26:09:39:59
#SUBENT         33035002   20110609
#ENTRY          33035      20110609
#AUTHOR1        M.S.Samant+
#YEAR           1993
#X4REF1         J,PRM,40,(4),299,1993
#REFERENCE1     Jour: Pramana, Vol.40, Issue.4, p.299 (1993)
#REACTION       92-U-235(N,F)MASS,PR,NU,,MSC
#D4REAC         R0#
#C4Reaction     (N,F)MASS,PR,NU,,MSC
#ReactionType   NU
#Quantity       Prompt neutron yield (nu-bar)
#IndVarFamCode  [0 2    7   ]
#ExpectedUnits  [PART/FIS]
#xVariables     2
#+              Y = Y(X1,X2)
#COLUMNS        6
#HEADER         7           6           12
!DATA        DATA-ERR    ERR-DIG     EN-DUMMY    MASS-MIN    MASS-MAX    
!PRT/FIS     PRT/FIS     PRT/FIS     EV          NO-DIM      NO-DIM      
!Y.Value     Y.Err+-     Y.pErr+-    X1.Value    X2.Min      X2.Max      
!0.1         0.911       0.955       1.1         2.2         2.3         
!variable    variable    const       const       variable    variable    
!1.0         1.0         1.0         1.0         1.0         1.0         
!PART/FIS    PART/FIS    PART/FIS    EV          NO-DIM      NO-DIM      
#DATA           104         6           12
 2.716       0.125       0.0363      123.        
 2.748       0.107       0.0363      124.        
 2.487       0.082       0.0363      125.        
 2.475       0.069       0.0363      126.        
 2.412       0.058       0.0363      127.        
 2.248       0.047       0.0363      128.        
 2.248       0.041       0.0363      129.        
 2.253       0.037       0.0363      130.        
 2.226       0.033       0.0363      131.        
 2.229       0.03        0.0363      132.        
 2.221       0.028       0.0363      133.        
 2.248       0.027       0.0363      134.        
 2.262       0.026       0.0363      135.        
 2.242       0.025       0.0363      136.        
 2.298       0.024       0.0363      137.        
 2.322       0.024       0.0363      138.        
 2.384       0.025       0.0363      139.        
 2.41        0.025       0.0363      140.        
 2.491       0.026       0.0363      141.        
 2.525       0.027       0.0363      142.        
 2.455       0.027       0.0363      143.        
 2.495       0.028       0.0363      144.        
 2.516       0.03        0.0363      145.        
 2.538       0.032       0.0363      146.        
 2.538       0.035       0.0363      147.        
 2.539       0.038       0.0363      148.        
 2.567       0.042       0.0363      149.        
 2.598       0.049       0.0363      150.        
 2.641       0.056       0.0363      151.        
 2.669       0.065       0.0363      152.        
 2.609       0.074       0.0363      153.        
 2.683       0.088       0.0363      154.        
 2.568       0.1         0.0363      155.        
 2.707       0.129       0.0363      156.        
 3.07        0.167       0.0363      157.        
 2.744       0.174       0.0363      158.        
 2.386       0.2         0.0363      159.        
 2.652       0.272       0.0363      160.        
 2.464       0.305       0.0363      161.        
 2.481       0.377       0.0363      162.        
 1.187       0.231       0.0363      163.        
 2.179       0.585       0.0363      164.        
 1.459       0.413       0.0363      165.        
 0.923       0.373       0.0363      166.        
#ENDDATA        49          4
#Legend         4           12
#
#COL-1         : Data        : variable    
#+   Rank      : 0.1         : Y.Value     
#+   Type      : 21          : 0.1         
#+   Header    : DATA        : [Data: data]
#+   Units     : PRT/FIS     : [particles per fission]
#+   BasicUnits: PART/FIS    : Conv.Factor=1.
#
#COL-2         : Error       : variable    
#+   Rank      : 0.911       : Y.Err+-     
#+   Type      : 21          : 0.911       
#+   Header    : DATA-ERR    : [Uncertainty: +-error]
#+   Units     : PRT/FIS     : [particles per fission]
#+   BasicUnits: PART/FIS    : Conv.Factor=1.
#
#COL-3         : Data        : constant    
#+   Rank      : 1.1         : X1.Value    
#+   Type      : 41          : 2.1         
#+   Header    : EN          : [Incident energy: energy]
#+   Units     : EV          : [electron-Volts]
#
#COL-4         : Data        : variable    
#+   Rank      : 2.1         : X2.Value    
#+   Type      : 92          : 7.1         
#+   Header    : MASS        : [Isotope/particle identification: mass] Product mass
#+   Units     : NO-DIM      : [no Dimensions]
#
#ENDDATASET     41516013 
